model,NODE21_score,AUROC,Competition_Metric,Inference_ms_per_img,num_images,Sens@FP=0.25,Sens@FP=0.5,Sens@FP=1,Sens@FP=2,Sens@FP=4,Sens@FP=8
Faster R-CNN,0.4545957918050941,0.8003847283406754,0.7049397090462042,35.02660423536202,977,0.4186046511627907,0.46179401993355484,0.46179401993355484,0.46179401993355484,0.46179401993355484,0.46179401993355484
YOLOv8,0.9102990033222591,0.9686343612334802,0.9283030134500271,16.712823756326724,977,0.8073089700996677,0.867109634551495,0.9169435215946844,0.9501661129568106,0.9601328903654485,0.9601328903654485
YOLO26,0.7857142857142857,0.9129280469897211,0.8366893907240184,18.41596845042659,977,0.6079734219269103,0.7009966777408638,0.7774086378737541,0.8239202657807309,0.893687707641196,0.9102990033222591
