model,NODE21,AUROC,CM,S@FP=0.25,S@FP=0.5,S@FP=1,S@FP=2,S@FP=4,S@FP=8
FRCNN,0.902547065337763,0.9459735682819382,0.9146296778725832,0.8205980066445183,0.8538205980066446,0.8903654485049833,0.9302325581395349,0.946843853820598,0.973421926910299
YOLOv8s,0.9136212624584718,0.9686343612334802,0.9316252725862397,0.8205980066445183,0.8704318936877077,0.9235880398671097,0.9534883720930233,0.9568106312292359,0.9568106312292359
Ensemble WBF,0.9390919158361019,0.9683406754772393,0.9446940448139095,0.8737541528239202,0.9136212624584718,0.9435215946843853,0.9601328903654485,0.9700996677740864,0.973421926910299
