model,node21_score,time_sec,sens@0.25,sens@0.5,sens@1,sens@2,sens@4,sens@8
checkpoint_epoch_11_20251220_133036.pth,0.8964368964279411,186.3,0.7492507492432642,0.8871128871040248,0.9170829170737554,0.9330669330576117,0.946053946044495,0.946053946044495
checkpoint_epoch_09_20251224_080807.pth,0.8932733932644695,185.6,0.7442557442483091,0.8851148851060427,0.9200799200707285,0.9320679320586207,0.9390609390515579,0.9390609390515579
checkpoint_epoch_10_20251220_133036.pth,0.8932733932644693,184.9,0.7632367632291385,0.8881118881030159,0.9150849150757734,0.9290709290616477,0.9320679320586207,0.9320679320586207
checkpoint_epoch_10_20251224_080807.pth,0.8896103896015024,184.5,0.7242757242684887,0.8871128871040248,0.9170829170737554,0.9310689310596296,0.9390609390515579,0.9390609390515579
checkpoint_epoch_12_20251220_133036.pth,0.8867798867710279,187.7,0.7682317682240936,0.895104895095953,0.9120879120788004,0.9150849150757734,0.9150849150757734,0.9150849150757734
checkpoint_epoch_08_20251224_080807.pth,0.8867798867710279,186.1,0.7512487512412462,0.8671328671242045,0.9100899100808183,0.9220779220687105,0.9340659340566028,0.9360639360545848
checkpoint_epoch_08_20251224_043211.pth,0.8779553779466073,185.4,0.7162837162765606,0.8811188811100787,0.9030969030878812,0.9190809190717375,0.9240759240666926,0.9240759240666926
checkpoint_epoch_09_20251220_133036.pth,0.8771228771141146,184.8,0.7112887112816055,0.8711288711201686,0.9060939060848542,0.9240759240666926,0.9250749250656836,0.9250749250656836
node21_v2.3_3canales_frcnn_vindn_png_checkpoint_epoch_09_20251224_043211.pth,0.8764568764481205,185.3,0.6913086913017851,0.8791208791120967,0.9090909090818272,0.9250749250656836,0.9270729270636656,0.9270729270636656
checkpoint_epoch_08_20251220_133036.pth,0.8742923742836402,185.9,0.7092907092836235,0.8671328671242045,0.9000999000909081,0.9210789210697194,0.9240759240666926,0.9240759240666926
checkpoint_epoch_07_20251224_043211.pth,0.8737928737841446,185.9,0.6903096903027941,0.8591408591322763,0.9050949050858632,0.9210789210697194,0.9330669330576117,0.9340659340566028
checkpoint_epoch_07_20251217_071423.pth,0.8691308691221864,184.9,0.7502497502422553,0.8521478521393392,0.8841158841070518,0.9010989010898991,0.9130869130777913,0.9140859140767823
checkpoint_epoch_07_20251220_005125.pth,0.8686313686226909,184.5,0.7022977022906863,0.842157842149429,0.890109890100998,0.9150849150757734,0.9310689310596296,0.9310689310596296
checkpoint_epoch_07_20251224_080807.pth,0.8624708624622465,185.8,0.7102897102826145,0.8371628371544739,0.8761238761151237,0.9090909090818272,0.9210789210697194,0.9210789210697194
checkpoint_epoch_06_20251220_133036.pth,0.8583083582997838,185.2,0.6603396603330636,0.8331668331585098,0.894105894096962,0.9100899100808183,0.9250749250656836,0.9270729270636656
checkpoint_epoch_06_20251220_005125.pth,0.8574758574672914,186.3,0.7092907092836235,0.8321678321595188,0.8741258741171416,0.8911088910999889,0.9140859140767823,0.9240759240666926
checkpoint_epoch_07_20251220_133036.pth,0.8558108558023063,184.6,0.6583416583350815,0.842157842149429,0.8921078920989799,0.9140859140767823,0.9140859140767823,0.9140859140767823
checkpoint_epoch_05_20251220_133036.pth,0.8551448551363122,185.4,0.6333666333603061,0.8311688311605278,0.890109890100998,0.9170829170737554,0.9290709290616477,0.9300699300606386
checkpoint_epoch_06_20251224_080807.pth,0.8543123543038197,185.1,0.6733266733199468,0.8331668331585098,0.8751248751161326,0.897102897093935,0.9120879120788004,0.9350649350555937
best_frcnn_node21_20251224_080807.pth,0.8543123543038197,186.8,0.6733266733199468,0.8331668331585098,0.8751248751161326,0.897102897093935,0.9120879120788004,0.9350649350555937
checkpoint_epoch_06_20251224_043211.pth,0.8493173493088647,185.5,0.6803196803128839,0.8331668331585098,0.8821178821090697,0.9000999000909081,0.9000999000909081,0.9000999000909081
checkpoint_epoch_06_20251217_071423.pth,0.8454878454793991,185.8,0.683316683309857,0.8171828171746535,0.8531468531383302,0.890109890100998,0.9120879120788004,0.9170829170737554
checkpoint_epoch_05_20251224_043211.pth,0.8451548451464022,185.7,0.631368631362324,0.8371628371544739,0.8771228771141146,0.9010989010898991,0.9120879120788004,0.9120879120788004
checkpoint_epoch_04_20251220_133036.pth,0.8208458208376207,185.4,0.6213786213724138,0.7882117882039139,0.8411588411504379,0.8781218781131057,0.896103896094944,0.9000999000909081
checkpoint_epoch_05_20251220_005125.pth,0.8198468198386295,186.0,0.6563436563370995,0.7932067931988691,0.8331668331585098,0.8561438561353033,0.8791208791120967,0.9010989010898991
checkpoint_epoch_05_20251224_080807.pth,0.817349317341152,184.9,0.629370629364342,0.789210789202905,0.8241758241675906,0.8671328671242045,0.897102897093935,0.897102897093935
checkpoint_epoch_04_20251224_043211.pth,0.8053613053532599,185.7,0.6053946053885575,0.7722277722200577,0.8321678321595188,0.8641358641272314,0.8791208791120967,0.8791208791120967
best_model_rcnn_balanceado_v1.pth,0.7987012986933196,185.2,0.6173826173764497,0.7732267732190486,0.8201798201716266,0.8381618381534649,0.8621378621292494,0.8811188811100787
best_frcnn_node21_20251217_071423.pth,0.7987012986933196,185.6,0.6173826173764497,0.7732267732190486,0.8201798201716266,0.8381618381534649,0.8621378621292494,0.8811188811100787
checkpoint_epoch_05_20251217_071423.pth,0.7980352980273256,184.8,0.6573426573360904,0.7792207792129948,0.8101898101817164,0.84315684314842,0.8491508491423662,0.8491508491423662
best_frcnn_node21_20251220_005125.pth,0.7832167832089588,184.1,0.5604395604339616,0.737262737255372,0.8101898101817164,0.8441558441474111,0.8671328671242045,0.8801198801110877
checkpoint_epoch_04_20251220_005125.pth,0.7832167832089588,185.0,0.5604395604339616,0.737262737255372,0.8101898101817164,0.8441558441474111,0.8671328671242045,0.8801198801110877
checkpoint_epoch_04_20251224_080807.pth,0.7830502830424604,184.5,0.5964035963976383,0.7622377622301475,0.8071928071847433,0.8301698301615368,0.8511488511403481,0.8511488511403481
checkpoint_epoch_03_20251217_071423.pth,0.7702297702220756,187.2,0.528471528466249,0.7492507492432642,0.8081918081837344,0.8331668331585098,0.8481518481433751,0.8541458541373212
checkpoint_epoch_03_20251224_043211.pth,0.7688977688900877,186.5,0.5364635364581772,0.7282717282644529,0.7932067931988691,0.8221778221696086,0.8541458541373212,0.8791208791120967
checkpoint_epoch_03_20251220_133036.pth,0.7650682650606221,185.6,0.527472527467258,0.7272727272654618,0.8051948051867612,0.8221778221696086,0.8441558441474111,0.8641358641272314
best_frcnn_node21_20251220_133036.pth,0.7650682650606221,185.8,0.527472527467258,0.7272727272654618,0.8051948051867612,0.8221778221696086,0.8441558441474111,0.8641358641272314
checkpoint_epoch_03_20251220_005125.pth,0.7572427572351924,185.3,0.5144855144803747,0.7282717282644529,0.792207792199878,0.8231768231685996,0.842157842149429,0.84315684314842
checkpoint_epoch_03_20251224_080807.pth,0.7517482517407418,185.8,0.5354645354591862,0.7052947052876594,0.786213786205932,0.8211788211706176,0.8311688311605278,0.8311688311605278
checkpoint_epoch_02_20251220_133036.pth,0.7266067265994677,185.8,0.4685314685267879,0.6643356643290276,0.7512487512412462,0.7962037961958421,0.8261738261655727,0.8531468531383302
checkpoint_epoch_02_20251224_043211.pth,0.7262737262664708,188.4,0.46653346652880584,0.6523476523411353,0.7622377622301475,0.8041958041877703,0.8271728271645638,0.845154845146402
node21_v2.3_3canales_frcnn_vindn_png_best_frcnn_node21_20251224_043211.pth,0.7262737262664708,187.0,0.46653346652880584,0.6523476523411353,0.7622377622301475,0.8041958041877703,0.8271728271645638,0.845154845146402
checkpoint_epoch_02_20251224_080807.pth,0.7212787212715157,185.5,0.45654345653889566,0.6563436563370995,0.7542457542382193,0.7992007991928152,0.8181818181736445,0.84315684314842
checkpoint_epoch_02_20251217_071423.pth,0.7141192141120801,186.4,0.4435564435520124,0.6483516483451713,0.7412587412513361,0.795204795196851,0.8241758241675906,0.8321678321595188
checkpoint_epoch_02_20251220_005125.pth,0.7046287046216655,185.3,0.4515484515439406,0.6303696303633329,0.7302697302624349,0.7722277722200577,0.8061938061857523,0.8371628371544739
checkpoint_epoch_01_20251216_184035.pth,0.6871461871393225,184.4,0.4045954045913627,0.6103896103835126,0.7192807192735337,0.7582417582341834,0.7962037961958421,0.8341658341575008
checkpoint_epoch_03_20251226_124055.pth,0.6686646686579887,185.8,0.34465534465190156,0.5654345654289167,0.7172827172755516,0.7722277722200577,0.7972027971948331,0.8151848151766715
