model,node21_score,time_sec,sens@0.25,sens@0.5,sens@1,sens@2,sens@4,sens@8
checkpoint_coco_monocanal_desbalanceado_epoch_02_20251229_173827.pth,0.6620046619980485,185.1,0.37162837162465906,0.5954045953986473,0.6873126873058211,0.7442557442483091,0.786213786205932,0.7872127872049229
checkpoint_coco_monocanal_balanceado_epoch_02_20251229_091533.pth,0.6581751581685831,183.7,0.3616383616347489,0.5544455544400155,0.6803196803128839,0.7472527472452822,0.786213786205932,0.8191808191726355
checkpoint_coco_monocanal_desbalanceado_epoch_01_20251229_173827.pth,0.6511821511756458,184.0,0.3646353646317219,0.5764235764178179,0.6783216783149019,0.7342657342583989,0.7612387612311564,0.792207792199878
checkpoint_coco_monocanal_balanceado_epoch_03_20251229_091533.pth,0.6475191475126788,184.0,0.35464535464181174,0.5684315684258898,0.682317682310866,0.7322677322604169,0.7722277722200577,0.7752247752170307
best_coco_monocanal_balanceado_frcnn_node21_20251229_091533.pth,0.6475191475126788,184.2,0.35464535464181174,0.5684315684258898,0.682317682310866,0.7322677322604169,0.7722277722200577,0.7752247752170307
checkpoint_coco_monocanal_desbalanceado_epoch_04_20251229_173827.pth,0.6416916416852311,184.4,0.34465534465190156,0.580419580413782,0.685314685307839,0.7212787212715157,0.7592407592331745,0.7592407592331745
checkpoint_coco_monocanal_balanceado_epoch_04_20251229_091533.pth,0.6411921411857356,184.2,0.37962037961658723,0.6023976023915845,0.685314685307839,0.7172827172755516,0.7312687312614259,0.7312687312614259
checkpoint_coco_monocanal_desbalanceado_epoch_03_20251229_173827.pth,0.6398601398537477,183.2,0.368631368627686,0.6133866133804856,0.6803196803128839,0.7162837162765606,0.7302697302624349,0.7302697302624349
checkpoint_coco_monocanal_balanceado_epoch_01_20251229_091533.pth,0.6391941391877536,184.9,0.368631368627686,0.5584415584359796,0.6623376623310455,0.7202797202725246,0.7542457542382193,0.7712287712210666
best_coco_monocanal_desbalanceado_frcnn_node21_20251229_173827.pth,0.6308691308628284,186.7,0.3636363636327309,0.5894105894047011,0.6743256743189378,0.7192807192735337,0.7192807192735337,0.7192807192735337
checkpoint_coco_monocanal_desbalanceado_epoch_05_20251229_173827.pth,0.6308691308628284,183.7,0.3636363636327309,0.5894105894047011,0.6743256743189378,0.7192807192735337,0.7192807192735337,0.7192807192735337
checkpoint_coco_3canales_balanceado_epoch_03_20251230_052422.pth,0.6147186147124737,186.0,0.368631368627686,0.5494505494450604,0.629370629364342,0.6803196803128839,0.7302697302624349,0.7302697302624349
checkpoint_coco_monocanal_balanceado_epoch_05_20251229_091533.pth,0.6088911088850261,182.5,0.3396603396569465,0.5674325674268987,0.6473526473461803,0.6943056942987582,0.7022977022906863,0.7022977022906863
checkpoint_coco_monocanal_desbalanceado_epoch_07_20251229_173827.pth,0.606560106554047,186.7,0.34965034964685665,0.5324675324622131,0.6453546453481982,0.6873126873058211,0.7122877122805965,0.7122877122805965
checkpoint_coco_monocanal_balanceado_epoch_06_20251229_091533.pth,0.5989010988951158,183.7,0.35164835164483865,0.528471528466249,0.6333666333603061,0.685314685307839,0.6973026972957312,0.6973026972957312
checkpoint_coco_monocanal_desbalanceado_epoch_09_20251229_173827.pth,0.5899100899041967,186.7,0.263736263733629,0.5144855144803747,0.6273726273663599,0.7012987012916954,0.7162837162765606,0.7162837162765606
checkpoint_coco_3canales_balanceado_epoch_02_20251230_052422.pth,0.5872460872402206,182.8,0.34965034964685665,0.5104895104844107,0.6073926073865396,0.685314685307839,0.685314685307839,0.685314685307839
checkpoint_coco_monocanal_desbalanceado_epoch_08_20251229_173827.pth,0.5832500832442566,187.6,0.3586413586377758,0.5144855144803747,0.6233766233703958,0.6583416583350815,0.6723276723209558,0.6723276723209558
checkpoint_coco_3canales_balanceado_epoch_05_20251230_052422.pth,0.5762570762513194,184.0,0.32967032966703624,0.48851148850660825,0.6113886113825036,0.6593406593340725,0.684315684308848,0.684315684308848
checkpoint_coco_monocanal_desbalanceado_epoch_06_20251229_173827.pth,0.575757575751824,1504.6,0.37162837162465906,0.5454545454490963,0.6223776223714048,0.6383616383552612,0.6383616383552612,0.6383616383552612
checkpoint_coco_monocanal_balanceado_epoch_07_20251229_091533.pth,0.5659340659284123,183.1,0.2987012986983147,0.5144855144803747,0.6223776223714048,0.6533466533401264,0.6533466533401264,0.6533466533401264
checkpoint_coco_monocanal_balanceado_epoch_12_20251229_091533.pth,0.5564435564379976,183.1,0.27072927072656616,0.5164835164783568,0.6273726273663599,0.6413586413522342,0.6413586413522342,0.6413586413522342
