model,node21_score,time_sec,sens@0.25,sens@0.5,sens@1,sens@2,sens@4,sens@8
checkpoint_3canal_frcnn_vindn_epoch_11_20251231_003142.pth,0.8912753912664875,187.2,0.7582417582341834,0.8921078920989799,0.9160839160747644,0.9270729270636656,0.9270729270636656,0.9270729270636656
checkpoint_3canal_frcnn_vindn_epoch_13_20251231_003142.pth,0.8912753912664874,188.0,0.7782217782140037,0.8911088910999889,0.9120879120788004,0.9220779220687105,0.9220779220687105,0.9220779220687105
checkpoint_1canal_frcnn_vindn_epoch_14_20251230_181851.pth,0.890109890100998,186.9,0.789210789202905,0.8891108891020069,0.9110889110798093,0.9170829170737554,0.9170829170737554,0.9170829170737554
checkpoint_1canal_frcnn_vindn_epoch_12_20251230_181851.pth,0.8877788877700189,186.3,0.7772227772150128,0.8841158841070518,0.9080919080828362,0.9190809190717375,0.9190809190717375,0.9190809190717375
checkpoint_1canal_frcnn_vindn_epoch_13_20251230_181851.pth,0.8867798867710278,187.0,0.7982017981938242,0.890109890100998,0.9020979020888901,0.9100899100808183,0.9100899100808183,0.9100899100808183
checkpoint_3canal_frcnn_vindn_epoch_14_20251231_003142.pth,0.8867798867710278,186.8,0.7722277722200577,0.895104895095953,0.9110889110798093,0.9140859140767823,0.9140859140767823,0.9140859140767823
checkpoint_1canal_frcnn_vindn_epoch_16_20251230_181851.pth,0.8864468864380308,186.8,0.7812187812109769,0.897102897093935,0.9100899100808183,0.9100899100808183,0.9100899100808183,0.9100899100808183
checkpoint_3canal_frcnn_vindn_epoch_16_20251231_003142.pth,0.8859473859385353,187.6,0.7872127872049229,0.8881118881030159,0.9070929070838453,0.9110889110798093,0.9110889110798093,0.9110889110798093
checkpoint_3canal_frcnn_vindn_epoch_10_20251231_003142.pth,0.8857808857720367,186.9,0.7562437562362013,0.8871128871040248,0.9040959040868721,0.9190809190717375,0.9240759240666926,0.9240759240666926
checkpoint_3canal_frcnn_vindn_epoch_17_20251231_003142.pth,0.8841158841070517,188.3,0.8071928071847433,0.8891108891020069,0.9020979020888901,0.9020979020888901,0.9020979020888901,0.9020979020888901
checkpoint_3canal_frcnn_vindn_epoch_08_20251231_003142.pth,0.8827838827750637,187.7,0.7152847152775695,0.8711288711201686,0.9060939060848542,0.9260739260646745,0.9390609390515579,0.9390609390515579
