model,node21_score,time_sec,sens@0.25,sens@0.5,sens@1,sens@2,sens@4,sens@8
checkpoint_epoch_13_vidn_local_foss_20251231_152453.pth,0.889776889768001,188.5,0.7762237762160218,0.8911088910999889,0.9140859140767823,0.9190809190717375,0.9190809190717375,0.9190809190717375
checkpoint_epoch_11_vidn_local_foss_20251231_152453.pth,0.8849483849395444,188.6,0.7622377622301475,0.894105894096962,0.9080919080828362,0.9150849150757734,0.9150849150757734,0.9150849150757734
checkpoint_epoch_14_vidn_local_foss_20251231_152453.pth,0.8829503829415621,187.3,0.7582417582341834,0.8861138861050338,0.9110889110798093,0.9140859140767823,0.9140859140767823,0.9140859140767823
checkpoint_epoch_09_vidn_local_foss_20251231_152453.pth,0.8827838827750637,188.3,0.7252747252674797,0.8811188811100787,0.9090909090818272,0.9180819180727464,0.9280719280626566,0.9350649350555937
checkpoint_epoch_12_vidn_local_foss_20251231_152453.pth,0.8801198801110878,187.9,0.7552447552372104,0.8861138861050338,0.9030969030878812,0.9120879120788004,0.9120879120788004,0.9120879120788004
checkpoint_epoch_16_vidn_local_foss_20251231_152453.pth,0.8784548784461027,3267.6,0.7852147852069409,0.8851148851060427,0.9000999000909081,0.9000999000909081,0.9000999000909081,0.9000999000909081
checkpoint_epoch_15_vidn_local_foss_20251231_152453.pth,0.8764568764481205,187.2,0.7662337662261115,0.8881118881030159,0.9010989010898991,0.9010989010898991,0.9010989010898991,0.9010989010898991
checkpoint_epoch_08_vidn_local_foss_20251231_152453.pth,0.8726273726186552,188.3,0.7112887112816055,0.8691308691221865,0.9000999000909081,0.9130869130777913,0.9200799200707285,0.9220779220687105
checkpoint_epoch_10_vidn_local_foss_20251231_152453.pth,0.8704628704541745,188.9,0.742257742250327,0.8761238761151237,0.8981018980929261,0.9020979020888901,0.9020979020888901,0.9020979020888901
checkpoint_epoch_07_vidn_local_foss_20251231_152453.pth,0.868964368955688,188.8,0.7272727272654618,0.8511488511403481,0.894105894096962,0.9130869130777913,0.9140859140767823,0.9140859140767823
